p2,score
ARHGAP20,14.376376376376374
ARHGAP21,15.798798798798796
ARHGAP22,13.426426426426424
ARHGAP23,13.112112112112111
ARHGAP24,22.001001001000997
ARHGAP25,15.130130130130128
ARHGAP26,23.015015015015013
ARHGAP27,33.347347347347345
ARHGAP28,11.913913913913913
ARHGAP29,27.088088088088085
ARHGAP30,18.358358358358355
ARHGAP31,13.655655655655654
ARHGAP32,29.901901901901898
ARHGAP33,15.048048048048045
ARHGAP35,28.920920920920917
ARHGAP36,15.224224224224221
ARHGAP39,13.177177177177176
ARHGAP4,23.16616616616616
ARHGAP40,7.71071071071071
ARHGAP42,15.789789789789788
ARHGAP44,11.188188188188185
ARHGAP5,18.186186186186184
ARHGAP6,22.510510510510507
ARHGAP8,5.596596596596596
ARHGAP9,27.21821821821821
ARHGDIA,39.89289289289289
ARHGDIB,30.35635635635635
ARHGDIG,20.770770770770767
ARHGEF1,29.947947947947945
ARHGEF10,15.246246246246244
ARHGEF10L,10.363363363363362
ARHGEF11,31.292292292292288
ARHGEF12,31.299299299299296
ARHGEF15,13.980980980980979
ARHGEF16,20.272272272272268
ARHGEF17,15.906906906906904
ARHGEF18,22.186186186186184
ARHGEF19,14.438438438438435
ARHGEF2,37.568568568568566
ARHGEF25,28.48448448448448
ARHGEF26,16.028028028028025
ARHGEF28,31.716716716716714
ARHGEF3,27.067067067067065
ARHGEF33,5.652652652652652
ARHGEF35,13.013013013013012
ARHGEF37,13.048048048048047
ARHGEF38,15.943943943943943
ARHGEF39,10.045045045045043
ARHGEF4,27.986986986986985
ARHGEF40,15.915915915915912
ARHGEF5,15.110110110110108
ARHGEF6,31.868868868868866
ARHGEF7,36.19519519519519
ARHGEF9,30.608608608608606
ARID1A,45.208208208208205
ARID1B,25.334334334334333
ARID2,35.661661661661654
ARID3A,25.539539539539536
ARID3B,20.215215215215213
ARID3C,8.954954954954953
ARID4A,48.95095095095095
ARID4B,49.204204204204196
ARID5A,23.801801801801798
ARID5B,26.33333333333333
ARIH1,31.940940940940937
ARIH2,24.664664664664663
ARIH2OS,0.8818818818818819
